2013-04-01 00:00 9999-99-99 99:99     394.30 -9999 -99999. -9999  0 -99999999
2013-05-01 00:00 9999-99-99 99:99     392.37 -9999 -99999. -9999  0 -99999999
2013-06-01 00:00 9999-99-99 99:99     396.17 -9999 -99999. -9999  0 -99999999
2013-07-01 00:00 9999-99-99 99:99     405.90 -9999 -99999. -9999  0 -99999999
2013-08-01 00:00 9999-99-99 99:99     403.90 -9999 -99999. -9999  0 -99999999
2013-09-01 00:00 9999-99-99 99:99     393.86 -9999 -99999. -9999  0 -99999999
2013-10-01 00:00 9999-99-99 99:99     391.73 -9999 -99999. -9999  0 -99999999
2013-11-01 00:00 9999-99-99 99:99     392.99 -9999 -99999. -9999  0 -99999999
2013-12-01 00:00 9999-99-99 99:99     392.24 -9999 -99999. -9999  0 -99999999
2014-01-01 00:00 9999-99-99 99:99     394.15 -9999 -99999. -9999  0 -99999999
2014-02-01 00:00 9999-99-99 99:99     399.69 -9999 -99999. -9999  0 -99999999
2014-03-01 00:00 9999-99-99 99:99     400.10 -9999 -99999. -9999  0 -99999999
2014-04-01 00:00 9999-99-99 99:99     396.30 -9999 -99999. -9999  0 -99999999
2014-05-01 00:00 9999-99-99 99:99     395.62 -9999 -99999. -9999  0 -99999999
2014-06-01 00:00 9999-99-99 99:99     395.30 -9999 -99999. -9999  0 -99999999
2014-07-01 00:00 9999-99-99 99:99     393.62 -9999 -99999. -9999  0 -99999999
2014-08-01 00:00 9999-99-99 99:99     392.27 -9999 -99999. -9999  0 -99999999
2014-09-01 00:00 9999-99-99 99:99     393.32 -9999 -99999. -9999  0 -99999999
2014-10-01 00:00 9999-99-99 99:99     395.05 -9999 -99999. -9999  0 -99999999
2014-11-01 00:00 9999-99-99 99:99     392.33 -9999 -99999. -9999  0 -99999999
2014-12-01 00:00 9999-99-99 99:99     393.04 -9999 -99999. -9999  0 -99999999
2015-01-01 00:00 9999-99-99 99:99     397.54 -9999 -99999. -9999  0 -99999999
2015-02-01 00:00 9999-99-99 99:99     398.57 -9999 -99999. -9999  0 -99999999
2015-03-01 00:00 9999-99-99 99:99     398.05 -9999 -99999. -9999  0 -99999999
2015-04-01 00:00 9999-99-99 99:99     397.02 -9999 -99999. -9999  0 -99999999
2015-05-01 00:00 9999-99-99 99:99     395.55 -9999 -99999. -9999  0 -99999999
2015-06-01 00:00 9999-99-99 99:99     395.06 -9999 -99999. -9999  0 -99999999
2015-07-01 00:00 9999-99-99 99:99     394.84 -9999 -99999. -9999  0 -99999999
2015-08-01 00:00 9999-99-99 99:99     394.55 -9999 -99999. -9999  0 -99999999
2015-09-01 00:00 9999-99-99 99:99     398.59 -9999 -99999. -9999  0 -99999999
2015-10-01 00:00 9999-99-99 99:99     404.11 -9999 -99999. -9999  0 -99999999
2015-11-01 00:00 9999-99-99 99:99     399.44 -9999 -99999. -9999  0 -99999999
2015-12-01 00:00 9999-99-99 99:99     397.39 -9999 -99999. -9999  0 -99999999
